Date,Open,High,Low,Close
2020-04-20 10:00:00,283.34,285.6,282.84,285.15
2020-04-20 11:00:00,285.15,286.3,284.71,285.94
2020-04-20 12:00:00,285.94,286.01,285.13,285.42
2020-04-20 13:00:00,285.42,285.46,284.1,284.84
2020-04-20 14:00:00,284.84,285.14,281.66,281.72
2020-04-20 15:00:00,281.72,283.05,281.34,281.61
2020-04-21 09:00:00,276.69,278.04,275.34,277.65
2020-04-21 10:00:00,277.65,277.8,274.11,274.18
2020-04-21 11:00:00,274.18,274.37,272.14,273.61
2020-04-21 12:00:00,273.61,273.85,272.02,273.41
2020-04-21 13:00:00,273.41,275.0,273.21,274.02
2020-04-21 14:00:00,274.02,275.69,273.24,273.48
2020-04-21 15:00:00,273.48,275.51,272.51,273.02
2020-04-22 09:00:00,278.35,278.9,277.05,277.81
2020-04-22 10:00:00,277.81,278.67,276.91,277.59
2020-04-22 11:00:00,277.59,279.05,277.26,278.68
2020-04-22 12:00:00,278.68,279.3,278.32,278.59
2020-04-22 13:00:00,278.59,279.5,278.22,279.24
2020-04-22 14:00:00,279.24,280.24,278.96,280.0
2020-04-22 15:00:00,280.0,281.0,279.07,279.17
2020-04-23 09:00:00,280.49,282.38,280.15,281.5
2020-04-23 10:00:00,281.5,283.94,281.03,283.28
2020-04-23 11:00:00,283.28,283.4,281.8,282.3
2020-04-23 12:00:00,282.3,283.12,278.88,281.01
2020-04-23 13:00:00,281.01,282.01,279.06,279.88
2020-04-23 14:00:00,279.88,281.53,278.75,281.33
2020-04-23 15:00:00,281.33,281.42,279.03,279.06
2020-04-24 09:00:00,280.74,281.3,278.77,278.88
2020-04-24 10:00:00,278.88,280.39,278.81,279.6
2020-04-24 11:00:00,279.6,279.73,278.5,279.35
2020-04-24 12:00:00,279.35,280.53,279.05,280.22
2020-04-24 13:00:00,280.22,281.56,279.78,281.52
2020-04-24 14:00:00,281.52,282.52,281.24,282.21
2020-04-24 15:00:00,282.21,283.69,281.81,283.03
2020-04-27 09:00:00,285.09,285.75,284.61,285.52
2020-04-27 10:00:00,285.52,286.41,285.16,285.69
2020-04-27 11:00:00,285.69,287.21,285.42,286.91
2020-04-27 12:00:00,286.91,287.34,286.42,287.07
2020-04-27 13:00:00,287.07,287.09,286.1,286.51
